Dates,EIM IS Equity,AXSB IS Equity,BJFIN IS Equity,SBILIFE IS Equity,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity,ADE IS Equity,NEST IS Equity,NTPC IS Equity,LTIM IS Equity,IIB IS Equity,APHS IS Equity,HCLT IS Equity,PWGR IS Equity,BAF IS Equity,COAL IS Equity,ICICIBC IS Equity,BHARTI IS Equity,ADSEZ IS Equity,TCS IS Equity,TTMT IS Equity,HDFCLIFE IS Equity,DIVI IS Equity,UTCEM IS Equity,UPLL IS Equity,TECHM IS Equity,BJAUT IS Equity,BRIT IS Equity,GRASIM IS Equity,TATACONS IS Equity,NIFTY Index
01-01-2009,23.5,103.37,14.78,#N/A N/A,283.07,57.22,70.79,131.63,54.2,21.45,105.57,46.97,101.38,60.02,192.95,88.8,114.13,23.84,49.8,467.6,811.85,250.75,143.52,92.68,365.22,549.9,19.44,#N/A N/A,152.08,#N/A N/A,39.25,226.33,30.7,47.22,6.28,#N/A N/A,84.39,324.43,66.76,124.21,33.74,#N/A N/A,333.99,395.5,72.37,65.31,204.88,131.73,152.69,61.01,3033.45
02-01-2009,24.01,108.38,15.52,#N/A N/A,290.23,58.17,72.15,133.19,56.05,21.54,104.88,47.76,101.57,60.61,191.6,90.25,113.38,23.69,48.9,468,791.65,247.5,141.51,97.9,366.82,544.4,19.71,#N/A N/A,153.46,#N/A N/A,41.4,240.25,30.58,47.45,6.31,#N/A N/A,85.68,317.65,66.25,124.58,34.84,#N/A N/A,335.64,386.3,77.5,68.47,207.9,132.63,151.1,63.14,3046.75
05-01-2009,23.99,112.02,16.3,#N/A N/A,308.16,57.65,74.06,136.08,58.15,23.04,104.39,48.04,104.41,59.86,190.95,91.53,120.88,24.54,49.32,471.25,778.45,243,146.6,99.64,381.02,557.05,21.68,#N/A N/A,150.67,#N/A N/A,46.05,234.58,31.54,46.38,6.5,#N/A N/A,90.89,308.97,78.08,128.81,35.31,#N/A N/A,333.6,384.85,79.27,70.97,220.08,134.23,153.69,62.82,3121.45
06-01-2009,23.74,113.95,17.11,#N/A N/A,309.3,58.13,79.58,132.29,58.1,23.18,104.14,46.15,110.04,62.24,192.95,91.83,119.82,25.24,48.7,486.7,790.25,246.9,146.07,96.71,377.87,561.4,22.19,#N/A N/A,147.54,#N/A N/A,43.6,232.33,32.64,46.04,6.66,#N/A N/A,95.17,296.06,79.04,126.6,36.89,#N/A N/A,331.14,429.2,77.23,73.58,217.35,134.01,166.15,62.47,3112.8
07-01-2009,22.45,104.42,17.32,#N/A N/A,270.91,56.03,75.65,124.01,54.8,21.93,104.32,44.76,100.93,61.31,185.9,89.22,115.1,23.86,49.1,464.9,774.25,251.15,148.44,90.76,344.29,565.15,21.35,#N/A N/A,142.88,#N/A N/A,38.1,228.95,27.56,43.62,6.15,#N/A N/A,85.06,292.91,70.41,126.2,34.46,#N/A N/A,322.05,409.4,73.2,63,203.63,129.14,166.4,61.94,2920.4
08-01-2009,22.45,104.42,17.32,#N/A N/A,270.91,56.03,75.65,124.01,54.8,21.93,104.32,44.76,100.93,61.31,185.9,89.22,115.1,23.86,49.1,464.9,774.25,251.15,148.44,90.76,344.29,565.15,21.35,#N/A N/A,142.88,#N/A N/A,38.1,228.95,27.56,43.62,6.15,#N/A N/A,85.06,292.91,70.41,126.2,34.46,#N/A N/A,322.05,409.4,73.2,63,203.63,129.14,166.4,61.94,2920.4
09-01-2009,21.9,97.32,17.76,#N/A N/A,260.19,56.55,78.04,122.11,52.6,20.17,109.95,44.78,101.75,63.44,188.85,88.04,111.52,22.41,50.36,459.9,802.35,263.4,150.43,86.13,320.38,585.85,19.57,#N/A N/A,148.54,#N/A N/A,37.5,218.73,26.66,43.4,6.05,#N/A N/A,83.02,287.91,67.6,134.24,32.8,#N/A N/A,310.44,396.75,70.9,62.46,213.85,126.5,169.85,61.38,2873
12-01-2009,22.55,90.34,18.6,#N/A N/A,247.71,55.03,77.24,115.89,50.15,18.78,113.04,44.45,100.37,60.8,187.1,88.91,108.92,21.56,45.63,468.45,781.8,263.85,144.96,82.18,305.91,579.35,20.31,#N/A N/A,142.42,#N/A N/A,36.25,225.18,27,42.24,5.89,#N/A N/A,79.64,281.12,73.97,128.14,31.96,#N/A N/A,292.15,379.35,70.7,61.51,213.85,128,169.18,61.15,2773.1
13-01-2009,23,88.06,19.54,#N/A N/A,243.11,56.23,76.5,117.49,48.55,19,113.43,45.18,98.89,62.57,185.35,91.24,105.1,21.08,48.22,452.75,805,254.55,153.52,80.81,311.04,587.5,18.94,#N/A N/A,140,#N/A N/A,36,218.45,27.21,41.63,5.81,#N/A N/A,77.35,273.55,69.95,131.41,30.69,#N/A N/A,279.4,365.15,73.33,58.35,217.65,128.48,165.28,62.21,2744.95
14-01-2009,24.28,89.88,20.51,#N/A N/A,266.17,56.9,80.63,119.69,50.65,19.99,111.96,46.83,97.76,62.38,187.95,91.55,108.1,21.9,48.92,475.95,827.7,254,162.95,84.38,315.2,595.75,19.31,#N/A N/A,143,#N/A N/A,38.4,217.53,29.54,41.71,5.93,#N/A N/A,80.2,280.63,76.95,134.74,30.94,#N/A N/A,291.81,359.55,72.03,58.95,219.03,130.01,159.82,62.61,2835.3
15-01-2009,23.52,86.81,19.49,#N/A N/A,257.73,56.17,80.41,114.73,48.25,18.55,110.46,46.58,92.48,62.76,181.95,92.99,104.23,21.02,47.21,445.2,832.2,247,156.46,76.33,314.18,589.95,18.57,#N/A N/A,138.92,#N/A N/A,37.45,216.5,27.28,41.09,5.8,#N/A N/A,74.3,272.02,74.62,127.61,29.81,#N/A N/A,282.33,358.8,69.67,60.41,221.83,130.16,162.16,62.99,2736.7
16-01-2009,23.46,88.71,18.52,#N/A N/A,274.66,57.25,81.19,116.42,50,19.14,111.99,46.5,93.76,64.21,183.2,91.75,108.12,21.18,47.83,447.3,844.7,250.8,158.43,78.97,318.73,589.65,18.56,#N/A N/A,149.88,#N/A N/A,38.05,212.38,29.44,42.38,5.81,#N/A N/A,77.05,286.04,75.09,125.75,30.27,#N/A N/A,284.06,370.65,69.33,60.09,230.93,130.1,159.79,63.03,2828.45
19-01-2009,22.83,87.66,17.6,#N/A N/A,277.49,56.88,77.36,114.64,50.65,19.56,111.92,47.17,94.11,64.1,180.25,93.32,111.71,21.02,46.44,457.45,839.85,254.2,157.76,77.99,323.4,573.9,18.08,#N/A N/A,148.67,#N/A N/A,37.55,207.33,28.96,44.02,5.82,#N/A N/A,75.02,291.49,72.54,125.19,29.7,#N/A N/A,277.58,380.7,68,59.95,249.5,131.18,155.11,62.98,2846.2
20-01-2009,22.52,84.48,18.48,#N/A N/A,267.05,56.88,74.96,111.29,48.45,18.3,110.09,46.64,91.25,65.47,177.65,92.87,110.69,20.57,45.78,467.9,836.8,246.05,156.47,76.09,314.98,559.6,18,#N/A N/A,154.96,#N/A N/A,37.25,209.9,27.78,48.94,5.74,#N/A N/A,72.05,277.75,75.01,124.11,28.84,#N/A N/A,267.23,388.95,66.9,59.18,228.23,131.02,150.82,62.29,2796.6
21-01-2009,22.51,81.54,17.62,#N/A N/A,252.66,57.08,74.09,108.12,47.4,17.72,107.89,45.8,88.95,64.72,180.05,92.78,108.34,20.12,44.09,447.05,841.5,255.1,152.98,73.38,304.51,539.75,17.99,#N/A N/A,149.96,#N/A N/A,35.9,212.78,28.94,45.68,5.72,#N/A N/A,67.15,262.74,71.31,123.08,27.68,#N/A N/A,230.06,389.7,69.57,56.68,226.6,132.74,142.06,60.89,2706.15
22-01-2009,22.47,83.21,16.97,#N/A N/A,256.37,56.87,71.89,109.03,43.85,16.82,110.38,44.91,90.05,64.18,172.85,90.27,108.25,19.58,43.75,428.5,849.45,253.25,153.86,69.22,295.4,519.4,18.1,#N/A N/A,148.79,#N/A N/A,34.8,205.95,27.94,47.84,5.88,#N/A N/A,68.74,279.03,73.82,124.15,26.3,#N/A N/A,246.31,388.9,63.03,57.35,236.13,132.18,147.55,61,2713.8
23-01-2009,22.02,76.86,16.28,#N/A N/A,260.85,56.8,66.16,104.15,43.5,15.6,107.17,45.97,87.25,61.1,186.05,92.08,107.75,18.67,42.85,432.2,846.6,246.8,150.58,64.04,284.91,515.2,17.96,#N/A N/A,149.88,#N/A N/A,32.85,203.35,26.75,48.52,5.74,#N/A N/A,66.15,276.3,72.78,121.54,26.72,#N/A N/A,232.66,395.8,59.8,52.33,228.78,131.17,140.96,62.21,2678.55
26-01-2009,22.02,76.86,16.28,#N/A N/A,260.85,56.8,66.16,104.15,43.5,15.6,107.17,45.97,87.25,61.1,186.05,92.08,107.75,18.67,42.85,432.2,846.6,246.8,150.58,64.04,284.91,515.2,17.96,#N/A N/A,149.88,#N/A N/A,32.85,203.35,26.75,48.52,5.74,#N/A N/A,66.15,276.3,72.78,121.54,26.72,#N/A N/A,232.66,395.8,59.8,52.33,228.78,131.17,140.96,62.21,2678.55
